enemy_id,english_name,jp_name,regions,location_count,region_count,common_drop,common_rate,rare_drop,rare_rate,special_drop,special_rate
M1403,Guaranzel,グワランゼル,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,11,11,beast bone,80.0%,beast skin,15.0%,tektite ore,5.0%
M1404,Oreanapushi,オレアナプシー,East Coast Cave; Former Sanctuary Crypt - B5; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,14,12,clear mucus,80.0%,Glittering mucus,15.0%,Pangu slime,5.0%
M1405,Specklamander,スペクルマンド,East Coast Cave; Former Sanctuary Crypt - B3; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,13,12,beast skin,80.0%,Pangu skin,60.0%,Pangu slime,40.0%
M1406,Sidragodi,シートルゴーディ,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,11,11,Pangu bones,80.0%,diamond shell,5.0%,dragonite,1.0%
M1407,Blobrovia,ブロブロヴィア,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,11,11,Strong acidic hard liquid,80.0%,Aura grass,5.0%,elixir of life,1.0%
M1408,Zokumethus,ゾックメタス,East Coast Cave; Former Sanctuary Crypt - B1; Former Sanctuary Crypt - B4; Former Sanctuary Crypt - B5; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,16,14,beast bone,80.0%,Pangu bones,15.0%,dragonite,5.0%
M1409,Grengan,グレインガン,East Coast Cave; Lodinia Marshland; Lodinia Marshland (Past); Mountain Pinnacle Trail; Nostalgia Cape; Odd Rock Coast; Roaring Seashore; Solitude Island; Sunrise Beach; Underground Water Vein; Waterdrop Cave,11,11,elixir of power,80.0%,Guardian's elixir,80.0%,elixir of life,80.0%
M1600,Rama,ラーマ,Sanctuary Crypt - Chamber of Braziers (Past); Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past),5,3,,,,,,
M1601,Angattacker,アンガアタッカ,Sanctuary Crypt - Chamber of Braziers (Past); Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of Stone (Past),10,5,strange lump,80.0%,Iron ore,40.0%,tektite ore,20.0%
M1602,Spitza,スピーツァ,Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of the Final Trial (Past),5,4,Glittering mucus,80.0%,Pangu slime,20.0%,glow rock,5.0%
M1603,Floria,フロリア,Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of Stone (Past); Sanctuary Crypt - Chamber of the Final Trial (Past),8,5,shining leaves,80.0%,Pangu flower,20.0%,moonlight grass,5.0%
M1604,Tormvega,トルムヴェガー,Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past),3,3,tektite ore,80.0%,Rispar,20.0%,mental armor,5.0%
M1605,Angatraz,アンガトラズ,Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of the Final Trial (Past),6,4,tektite ore,80.0%,Rispar,20.0%,diamond shell,5.0%
M1610,Gresbalon,グレスバイラン,Former Sanctuary Crypt - B4; Sanctuary Crypt - Chamber of Braziers (Past); Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of Stone (Past),11,6,thick skin,50.0%,beast skin,20.0%,beast bone,20.0%
M1611,Emisdoot,イミスドゥーテ,Sanctuary Crypt - Chamber of Braziers (Past); Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of Stone (Past); Sanctuary Crypt - Chamber of the Final Trial (Past),9,6,tektite ore,80.0%,Rispar,2.0%,mental armor,10.0%
M1612,Spitsa Ire,スピーツァ・イレ,Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of Stone (Past); Sanctuary Crypt - Chamber of the Final Trial (Past),6,5,Glittering mucus,80.0%,moon shadow wing,20.0%,Rivera's Immortal Flower,5.0%
M1613,Shivalva,シヴァルヴァ,Sanctuary Crypt - Chamber of Clairvoyance (Past); Sanctuary Crypt - Chamber of Frost (Past); Sanctuary Crypt - Chamber of Magma (Past); Sanctuary Crypt - Chamber of the Final Trial (Past),7,4,Pangu bones,80.0%,Star Crystal Armor,20.0%,Spiritual bones of another world,1.0%
M2100,Staeda,ステアーダ,Eroded Valley; Former Sanctuary Crypt - B3,7,2,light bones,80.0%,strange lump,5.0%,clear mucus,5.0%
M2101,Tyrondor,タイランウェザー,Eroded Valley,1,1,thick skin,80.0%,wing quill,5.0%,Zhan Gangyu,1.0%
M2102,Bullfrodon,ブルフロドン,Eroded Valley; Nameless Coast; Schlamm Jungle; White Sand Cape,9,4,clear mucus,80.0%,stalactite,20.0%,Bullfrodon mucus,20.0%
M2103,Zupig,ピグラ,Eroded Valley,4,1,thin skin,80.0%,thick skin,5.0%,wing quill,1.0%
MAT01,,Unknown (MAT01),Nameless Coast,1,1,,,,,,
MAT02,,Unknown (MAT02),Nameless Coast,1,1,,,,,,
MAT03,,Unknown (MAT03),Nameless Coast,1,1,,,,,,
MAT04,,Unknown (MAT04),Nameless Coast,1,1,,,,,,
MAT05,,Unknown (MAT05),Nameless Coast,1,1,,,,,,
b000,,Unknown (b000),Towering Coral Forest (Night),1,1,,,,,,
b004,,Unknown (b004),Baja Tower,1,1,,,,,,
b009,,Unknown (b009),The Abyss of Origins,1,1,,,,,,
b010,,Unknown (b010),The Abyss of Origins,1,1,,,,,,
b101,,Unknown (b101),Eroded Valley,1,1,,,,,,
b101b,,Unknown (b101b),Eroded Valley,1,1,,,,,,
m0100,,Unknown (m0100),The Abyss of Origins,1,1,,,,,,
m0104,,Unknown (m0104),The Abyss of Origins,1,1,,,,,,
m0106,,Unknown (m0106),The Abyss of Origins,1,1,,,,,,
m0222,,Unknown (m0222),The Abyss of Origins,1,1,,,,,,
m0224,,Unknown (m0224),The Abyss of Origins,1,1,,,,,,
m0302,,Unknown (m0302),The Abyss of Origins,1,1,,,,,,
m0303,,Unknown (m0303),The Abyss of Origins,1,1,,,,,,
m0400,,Unknown (m0400),The Abyss of Origins,1,1,,,,,,
m0504,,Unknown (m0504),The Abyss of Origins,1,1,,,,,,
m0620,,Unknown (m0620),Baja Tower,1,1,,,,,,
m0640,,Unknown (m0640),The Abyss of Origins,1,1,,,,,,
m0663,,Unknown (m0663),The Abyss of Origins,1,1,,,,,,
m0664,,Unknown (m0664),Archeozoic Chasm,1,1,,,,,,
m0841,,Unknown (m0841),The Abyss of Origins,1,1,,,,,,
m0860,,Unknown (m0860),The Abyss of Origins,1,1,,,,,,
m1102,,Unknown (m1102),The Abyss of Origins,1,1,,,,,,
param_define,,Unknown (param_define),Eroded Valley,2,1,,,,,,
